1.1 0 1.90526
1.1 0.0011 1.90526
1.09999 0.00219998 1.90526
1.09997 0.00329993 1.90527
1.09996 0.00439985 1.90528
1.09993 0.00549972 1.90529
1.09991 0.00659953 1.9053
1.09988 0.00769927 1.90531
1.09984 0.00879892 1.90533
1.0998 0.00989848 1.90534
1.09976 0.0109979 1.90536
1.09971 0.0120973 1.90539
1.09965 0.0131965 1.90541
1.0996 0.0142955 1.90544
1.09953 0.0153945 1.90546
1.09947 0.0164932 1.90549
1.09939 0.0175918 1.90552
1.09932 0.0186902 1.90556
1.09924 0.0197884 1.90559
1.09915 0.0208864 1.90563
1.09906 0.0219842 1.90567
1.09897 0.0230817 1.90571
1.09887 0.024179 1.90576
1.09876 0.025276 1.9058
1.09866 0.0263728 1.90585
1.09854 0.0274693 1.9059
1.09843 0.0285655 1.90595
1.09831 0.0296615 1.906
1.09818 0.0307571 1.90606
1.09805 0.0318524 1.90611
1.09791 0.0329473 1.90617
1.09777 0.0340419 1.90624
1.09763 0.0351362 1.9063
1.09748 0.0362301 1.90636
1.09733 0.0373236 1.90643
1.09717 0.0384167 1.9065
1.09701 0.0395094 1.90657
1.09684 0.0406017 1.90664
1.09667 0.0416936 1.90672
1.0965 0.042785 1.90679
1.09632 0.043876 1.90687
1.09613 0.0449666 1.90695
1.09594 0.0460566 1.90704
1.09575 0.0471462 1.90712
1.09555 0.0482353 1.90721
1.09535 0.0493239 1.9073
1.09514 0.050412 1.90739
1.09493 0.0514996 1.90748
1.09471 0.0525866 1.90757
1.09449 0.0536731 1.90767
1.09427 0.054759 1.90777
1.09404 0.0558443 1.90787
1.0938 0.0569291 1.90797
1.09356 0.0580132 1.90808
1.09332 0.0590968 1.90818
1.09307 0.0601798 1.90829
1.09282 0.0612621 1.9084
1.09257 0.0623437 1.90851
1.0923 0.0634248 1.90862
1.09204 0.0645051 1.90874
1.09177 0.0655848 1.90886
1.09149 0.0666638 1.90898
1.09122 0.0677422 1.9091
1.09093 0.0688198 1.90922
1.09064 0.0698967 1.90935
1.09035 0.0709728 1.90948
1.09005 0.0720482 1.9096
1.08975 0.0731229 1.90974
1.08945 0.0741968 1.90987
1.08914 0.0752699 1.91
1.08882 0.0763423 1.91014
1.0885 0.0774138 1.91028
1.08818 0.0784846 1.91042
1.08785 0.0795545 1.91056
1.08752 0.0806236 1.91071
1.08718 0.0816918 1.91085
1.08684 0.0827592 1.911
1.08649 0.0838257 1.91115
1.08614 0.0848914 1.9113
1.08579 0.0859562 1.91146
1.08543 0.08702 1.91161
1.08507 0.088083 1.91177
1.0847 0.089145 1.91193
1.08432 0.0902061 1.91209
1.08395 0.0912663 1.91226
1.08357 0.0923255 1.91242
1.08318 0.0933838 1.91259
1.08279 0.094441 1.91276
1.08239 0.0954973 1.91293
1.08199 0.0965526 1.9131
1.08159 0.0976068 1.91328
1.08118 0.0986601 1.91346
1.08077 0.0997123 1.91363
1.08035 0.100763 1.91381
1.07993 0.101814 1.914
1.07951 0.102863 1.91418
1.07908 0.103911 1.91437
1.07864 0.104957 1.91455
1.0782 0.106003 1.91474
1.07776 0.107048 1.91494
1.07731 0.108092 1.91513
1.07686 0.109134 1.91532
1.0764 0.110175 1.91552
1.07594 0.111215 1.91572
1.07547 0.112254 1.91592
1.075 0.113292 1.91612
1.07453 0.114329 1.91633
1.07405 0.115364 1.91654
1.07357 0.116398 1.91674
1.07308 0.117431 1.91695
1.07259 0.118463 1.91717
1.07209 0.119493 1.91738
1.07159 0.120522 1.91759
1.07109 0.12155 1.91781
1.07058 0.122577 1.91803
1.07006 0.123602 1.91825
1.06954 0.124627 1.91847
1.06902 0.125649 1.9187
1.06849 0.126671 1.91893
1.06796 0.127691 1.91915
1.06743 0.12871 1.91938
1.06689 0.129727 1.91962
1.06634 0.130743 1.91985
1.06579 0.131758 1.92008
1.06524 0.132771 1.92032
1.06468 0.133783 1.92056
1.06412 0.134793 1.9208
1.06356 0.135802 1.92104
1.06298 0.13681 1.92129
1.06241 0.137816 1.92153
1.06183 0.138821 1.92178
1.06125 0.139824 1.92203
1.06066 0.140826 1.92228
1.06007 0.141826 1.92254
1.05947 0.142825 1.92279
1.05887 0.143822 1.92305
1.05827 0.144818 1.92331
1.05766 0.145812 1.92357
1.05704 0.146805 1.92383
1.05642 0.147796 1.92409
1.0558 0.148786 1.92436
1.05517 0.149774 1.92462
1.05454 0.15076 1.92489
1.05391 0.151745 1.92516
1.05327 0.152728 1.92543
1.05263 0.153709 1.92571
1.05198 0.154689 1.92598
1.05133 0.155668 1.92626
1.05067 0.156644 1.92654
1.05001 0.157619 1.92682
1.04934 0.158593 1.9271
1.04867 0.159564 1.92739
1.048 0.160534 1.92767
1.04732 0.161502 1.92796
1.04664 0.162469 1.92825
1.04595 0.163434 1.92854
1.04526 0.164397 1.92883
1.04457 0.165358 1.92913
1.04387 0.166317 1.92942
1.04316 0.167275 1.92972
1.04246 0.168231 1.93002
1.04175 0.169185 1.93032
1.04103 0.170138 1.93062
1.04031 0.171088 1.93093
1.03958 0.172037 1.93123
1.03886 0.172984 1.93154
1.03812 0.173929 1.93185
1.03739 0.174872 1.93216
1.03664 0.175813 1.93247
1.0359 0.176753 1.93279
1.03515 0.17769 1.9331
1.0344 0.178626 1.93342
1.03364 0.17956 1.93374
1.03288 0.180492 1.93406
1.03211 0.181422 1.93438
1.03134 0.182349 1.93471
1.03056 0.183275 1.93503
1.02978 0.184199 1.93536
1.029 0.185121 1.93569
1.02821 0.186042 1.93602
1.02742 0.18696 1.93635
1.02663 0.187876 1.93668
